created,latitude,__CLASS__,contract_time,description,adref,id,longitude,salary_is_predicted,title,redirect_url,category.label,category.__CLASS__,category.tag,company.__CLASS__,company.display_name,location.display_name,location.area,location.__CLASS__,salary_max,salary_min,contract_type
2026-07-31T10:56:49Z,45.544959,Adzuna::API::Response::Job,full_time,"Position Description: Nous recherchons un(e) développeur(se) de solutions Industrie 4.0 afin de contribuer à la conception, au développement et à l'industrialisation de solutions logicielles avancées pour un de nos clients. Au sein d'une équipe multidisciplinaire, vous travaillerez en étroite collaboration avec des scientifiques de données, des experts Industrie 4.0, des équipes TI et différents partenaires d'affaires. Votre rôle consistera notamment à transformer des modèles analytiques et des…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjQxNDI1NCIsInMiOiJ0Tk95aV9DTThSRzhKTXl4YlJyYzdRIn0.IUDCuwU4eCN-eU0_IYixlbYzntv1sEzLFK0QNHZeomQ,5822414254,-73.588138,0,Développeur(se) de solutions Industrie 4.0,https://www.adzuna.ca/details/5822414254?utm_medium=api&utm_source=e90db681,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,CGI,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,,,
2026-07-31T06:43:07Z,45.544959,Adzuna::API::Response::Job,,"Job Description Job Description French version below QA Lead – AI & Agentic Quality Engineering Location / Work Model : Remote, Hybrid, or Onsite (Flexible) Role Overview FortNine is seeking a QA Lead – AI & Agentic Quality Engineering to build and lead our Quality Engineering function. This role combines QA leadership, Magento storefront expertise, test automation, and AI-driven quality engineering. You will define our testing strategy, improve release quality, lead QA processes, and help buil…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidE5PeWlfQ004Ukc4Sk15eGJScmM3USIsImkiOiI1ODIyMzA5NzQ5In0.pPxQtrHAHCHoo-HmiaoTD94NIWCeVw78S0WEOABWo-k,5822309749,-73.588138,0,QA Lead - AI & Agentic Quality Engineering / Responsable QA - IA et systèmes agentiques,https://www.adzuna.ca/details/5822309749?utm_medium=api&utm_source=e90db681,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,FortNine,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,,,
2026-07-31T06:42:33Z,45.544959,Adzuna::API::Response::Job,,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Delivery Manager to lead the successful delivery of Enterprise Master Data Management (MDM) solutions using TIBCO EBX within the insurance industry. The ideal candidate will have strong expertise in EBX, insurance data domains, delivery management, stakeholder engagement, and team leadership. This role is responsible for driving end-to-end implementation, ensuring data quality, governance, and alignmen…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidE5PeWlfQ004Ukc4Sk15eGJScmM3USIsImkiOiI1ODIyMzA4NTkyIn0.-d05QmLQyBFA7c2qmEDglZzmsgDwUO1coOiUxhHZQgo,5822308592,-73.588138,0,EBX Specialization Delivery Manager,https://www.adzuna.ca/details/5822308592?utm_medium=api&utm_source=e90db681,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,Maarut,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,156000.0,145600.0,
2026-07-31T06:39:46Z,45.544959,Adzuna::API::Response::Job,,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Business Architect with deep expertise in TIBCO EBX Master Data Management (MDM) and the insurance industry. The Business Architect will bridge business and technology by defining enterprise data strategies, designing business processes, and implementing data governance solutions that support digital transformation initiatives. The ideal candidate will possess strong insurance domain knowledge, busines…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjMwNjA2MCIsInMiOiJ0Tk95aV9DTThSRzhKTXl4YlJyYzdRIn0.mBbl_p_hZBdM5NiWyqg_eoqKpDt16kW5WpV4K9OkKM8,5822306060,-73.588138,0,EBX Specialization Business Architect,https://www.adzuna.ca/details/5822306060?utm_medium=api&utm_source=e90db681,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,Maarut,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,156000.0,145600.0,
2026-07-31T06:39:19Z,45.544959,Adzuna::API::Response::Job,,"Job Description Job Description Description: We are seeking an experienced EBX Specialization QA Lead to lead quality assurance activities for TIBCO EBX Master Data Management (MDM) implementations within the insurance domain. The ideal candidate will be responsible for defining the QA strategy, leading test planning and execution, ensuring data quality and application quality, and validating that EBX solutions meet business, regulatory, and technical requirements. This role requires close coll…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjMwNTY4NSIsInMiOiJ0Tk95aV9DTThSRzhKTXl4YlJyYzdRIn0.234FVO-_N4edGQQPsOFw0YB6szgD7YiZity831FKnpg,5822305685,-73.588138,0,EBX Specialization QA Lead,https://www.adzuna.ca/details/5822305685?utm_medium=api&utm_source=e90db681,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,Maarut,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,156000.0,145600.0,
2026-07-31T06:37:08Z,45.544959,Adzuna::API::Response::Job,,"Job Description Job Description Description: The Project Sponsor is responsible for the strategy, project delivery, business value creation, and organizational adoption of Capital Markets modernization initiatives. They define the project scope, confirm the delivery model, and ensure the program remains aligned with Desjardins’ strategic priorities, investment themes, risk appetite, and value creation objectives for clients and members. This role provides visible executive leadership to busines…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidE5PeWlfQ004Ukc4Sk15eGJScmM3USIsImkiOiI1ODIyMzAzODQwIn0.OcRWAfzN5mTpUnp1mrgyVGnNpCDetfHnlgG2leRE9Tc,5822303840,-73.588138,0,Project Sponsor,https://www.adzuna.ca/details/5822303840?utm_medium=api&utm_source=e90db681,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,Maarut,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,156000.0,145600.0,
2026-07-31T06:34:06Z,45.544959,Adzuna::API::Response::Job,,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Governance Lead to establish and lead enterprise Data Governance and Master Data Management (MDM) initiatives using TIBCO EBX within the insurance domain. The successful candidate will define governance strategies, policies, standards, and operating models to ensure high-quality, trusted master data across the organization. This role will work closely with business stakeholders, data stewards, architec…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidE5PeWlfQ004Ukc4Sk15eGJScmM3USIsImkiOiI1ODIyMjk5OTIwIn0.KkQxMX6riwVuzJH_QI7y7rnV7tUM96Oi5f2t_vx0tsg,5822299920,-73.588138,0,EBX Specialization Governance Lead,https://www.adzuna.ca/details/5822299920?utm_medium=api&utm_source=e90db681,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,Maarut,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,156000.0,145600.0,
2026-07-31T06:33:35Z,45.544959,Adzuna::API::Response::Job,,"Job Description Job Description  English version will follow  IT Unlock est à l'avant-garde de la transformation numérique, exploitant notre expertise approfondie pour relever les défis informatiques multifacettes. Que ce soit pour les services gérés d'applications, MSP, MSSP, la gestion des données, les analyses avancées de données, ERP, CRM ou les solutions d'IA pionnières, notre équipe chevronnée est prête à concevoir et à fournir des solutions sur mesure adaptées à vos besoins commerciaux. …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidE5PeWlfQ004Ukc4Sk15eGJScmM3USIsImkiOiI1ODIyMjk5NjI2In0.Egh88hoMa_QGE9FPtzHm2_CfM1MYDc0Dolm0cJfXm1c,5822299626,-73.588138,0,Project Manager - ERP Implementation,https://www.adzuna.ca/details/5822299626?utm_medium=api&utm_source=e90db681,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,IT UNLOCK CONSULTING INC.,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,270400.0,249600.0,
2026-07-31T06:32:11Z,45.544959,Adzuna::API::Response::Job,,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Project Manager to lead the planning, execution, and successful delivery of TIBCO EBX Master Data Management (MDM) initiatives within the insurance industry. The ideal candidate will have strong project management expertise, extensive experience managing enterprise data and MDM projects, and a solid understanding of insurance business processes. This role requires close collaboration with business stak…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjI5NTI4OCIsInMiOiJ0Tk95aV9DTThSRzhKTXl4YlJyYzdRIn0.gTRrM_7AYw_7jJ-4Uftbms09u2JnFOGC2TY7mXfZ94s,5822295288,-73.588138,0,EBX Specialization Project Manager,https://www.adzuna.ca/details/5822295288?utm_medium=api&utm_source=e90db681,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,Maarut,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,156000.0,145600.0,
2026-07-31T06:25:37Z,45.544959,Adzuna::API::Response::Job,,"Job Description Job Description Kronos has a long history of avionics engineering working with some of the largest aircraft integrators in the world. We always provide our partners with 100% customers satisfaction and on time delivery. If you are excited about working for a company that takes its job seriously and does not cut corners you will have a home with Kronos. Analytics Engineer Job Summary We are seeking a Analytics Engineer who thrives on turning complex, raw data into reliable, well-…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoidE5PeWlfQ004Ukc4Sk15eGJScmM3USIsImkiOiI1ODIyMjY3OTExIn0.gJUMkX3PnsqSuYQhK63q9SngSO9oE-9iHAgCH168O-A,5822267911,-73.588138,0,Analytics Engineer I,https://www.adzuna.ca/land/ad/5822267911?se=tNOyi_CM8RG8JMyxbRrc7Q&utm_medium=api&utm_source=e90db681&v=DB939FD41A90ECE0BE2BBEA5DB7EDAAF41FF35F2,IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Company,Kronos Consulting,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,,,
