salary_is_predicted,created,redirect_url,title,longitude,adref,__CLASS__,description,id,latitude,location.__CLASS__,location.display_name,location.area,company.__CLASS__,company.display_name,category.tag,category.label,category.__CLASS__,salary_max,salary_min,contract_type,contract_time
0,2026-07-31T06:43:07Z,https://www.adzuna.ca/details/5822309749?utm_medium=api&utm_source=e90db681,QA Lead - AI & Agentic Quality Engineering / Responsable QA - IA et systèmes agentiques,-73.588138,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjMwOTc0OSIsInMiOiJXSFlRWE8tTThSR0dnT19uMHJtZGlRIn0.CvyV6MfX1nU7327NV9159mca1aQ_G5XB5G5Yrdh5l4Y,Adzuna::API::Response::Job,"Job Description Job Description French version below QA Lead – AI & Agentic Quality Engineering Location / Work Model : Remote, Hybrid, or Onsite (Flexible) Role Overview FortNine is seeking a QA Lead – AI & Agentic Quality Engineering to build and lead our Quality Engineering function. This role combines QA leadership, Magento storefront expertise, test automation, and AI-driven quality engineering. You will define our testing strategy, improve release quality, lead QA processes, and help buil…",5822309749,45.544959,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Company,FortNine,it-jobs,IT Jobs,Adzuna::API::Response::Category,,,,
0,2026-07-31T06:42:33Z,https://www.adzuna.ca/details/5822308592?utm_medium=api&utm_source=e90db681,EBX Specialization Delivery Manager,-73.588138,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjMwODU5MiIsInMiOiJXSFlRWE8tTThSR0dnT19uMHJtZGlRIn0.MLJKsfe2rewLcgifr6dED__-nSjey6lNNkxGw4l43mA,Adzuna::API::Response::Job,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Delivery Manager to lead the successful delivery of Enterprise Master Data Management (MDM) solutions using TIBCO EBX within the insurance industry. The ideal candidate will have strong expertise in EBX, insurance data domains, delivery management, stakeholder engagement, and team leadership. This role is responsible for driving end-to-end implementation, ensuring data quality, governance, and alignmen…",5822308592,45.544959,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Company,Maarut,it-jobs,IT Jobs,Adzuna::API::Response::Category,156000.0,145600.0,,
0,2026-07-31T06:39:46Z,https://www.adzuna.ca/details/5822306060?utm_medium=api&utm_source=e90db681,EBX Specialization Business Architect,-73.588138,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0hZUVhPLU04UkdHZ09fbjBybWRpUSIsImkiOiI1ODIyMzA2MDYwIn0.t0_wyasJS2SLnx-AfVzlrxDC6ZHwQ8tlDpaGZhKjzWQ,Adzuna::API::Response::Job,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Business Architect with deep expertise in TIBCO EBX Master Data Management (MDM) and the insurance industry. The Business Architect will bridge business and technology by defining enterprise data strategies, designing business processes, and implementing data governance solutions that support digital transformation initiatives. The ideal candidate will possess strong insurance domain knowledge, busines…",5822306060,45.544959,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Company,Maarut,it-jobs,IT Jobs,Adzuna::API::Response::Category,156000.0,145600.0,,
0,2026-07-31T06:39:19Z,https://www.adzuna.ca/details/5822305685?utm_medium=api&utm_source=e90db681,EBX Specialization QA Lead,-73.588138,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjMwNTY4NSIsInMiOiJXSFlRWE8tTThSR0dnT19uMHJtZGlRIn0.oT-F678jaw_bwbGp8CPAmMHZw27cH2mME7xAMKlJYmk,Adzuna::API::Response::Job,"Job Description Job Description Description: We are seeking an experienced EBX Specialization QA Lead to lead quality assurance activities for TIBCO EBX Master Data Management (MDM) implementations within the insurance domain. The ideal candidate will be responsible for defining the QA strategy, leading test planning and execution, ensuring data quality and application quality, and validating that EBX solutions meet business, regulatory, and technical requirements. This role requires close coll…",5822305685,45.544959,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Company,Maarut,it-jobs,IT Jobs,Adzuna::API::Response::Category,156000.0,145600.0,,
0,2026-07-31T06:37:08Z,https://www.adzuna.ca/details/5822303840?utm_medium=api&utm_source=e90db681,Project Sponsor,-73.588138,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0hZUVhPLU04UkdHZ09fbjBybWRpUSIsImkiOiI1ODIyMzAzODQwIn0.0_O83N6LiCz1N6gUfoRdPtzo_J58EmwQbajuB9whyNU,Adzuna::API::Response::Job,"Job Description Job Description Description: The Project Sponsor is responsible for the strategy, project delivery, business value creation, and organizational adoption of Capital Markets modernization initiatives. They define the project scope, confirm the delivery model, and ensure the program remains aligned with Desjardins’ strategic priorities, investment themes, risk appetite, and value creation objectives for clients and members. This role provides visible executive leadership to busines…",5822303840,45.544959,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Company,Maarut,it-jobs,IT Jobs,Adzuna::API::Response::Category,156000.0,145600.0,,
0,2026-07-31T06:34:06Z,https://www.adzuna.ca/details/5822299920?utm_medium=api&utm_source=e90db681,EBX Specialization Governance Lead,-73.588138,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjI5OTkyMCIsInMiOiJXSFlRWE8tTThSR0dnT19uMHJtZGlRIn0.99cBFw1ZMVPnzAkvVJs8kTk5EUy0wk_LznSwqaFyHZs,Adzuna::API::Response::Job,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Governance Lead to establish and lead enterprise Data Governance and Master Data Management (MDM) initiatives using TIBCO EBX within the insurance domain. The successful candidate will define governance strategies, policies, standards, and operating models to ensure high-quality, trusted master data across the organization. This role will work closely with business stakeholders, data stewards, architec…",5822299920,45.544959,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Company,Maarut,it-jobs,IT Jobs,Adzuna::API::Response::Category,156000.0,145600.0,,
0,2026-07-31T06:33:35Z,https://www.adzuna.ca/details/5822299626?utm_medium=api&utm_source=e90db681,Project Manager - ERP Implementation,-73.588138,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjI5OTYyNiIsInMiOiJXSFlRWE8tTThSR0dnT19uMHJtZGlRIn0.iNPEQcsyqZXp3bHwJrp1jObi7Olv1cSCLpXWVHFU-YU,Adzuna::API::Response::Job,"Job Description Job Description  English version will follow  IT Unlock est à l'avant-garde de la transformation numérique, exploitant notre expertise approfondie pour relever les défis informatiques multifacettes. Que ce soit pour les services gérés d'applications, MSP, MSSP, la gestion des données, les analyses avancées de données, ERP, CRM ou les solutions d'IA pionnières, notre équipe chevronnée est prête à concevoir et à fournir des solutions sur mesure adaptées à vos besoins commerciaux. …",5822299626,45.544959,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Company,IT UNLOCK CONSULTING INC.,it-jobs,IT Jobs,Adzuna::API::Response::Category,270400.0,249600.0,,
0,2026-07-31T06:32:11Z,https://www.adzuna.ca/details/5822295288?utm_medium=api&utm_source=e90db681,EBX Specialization Project Manager,-73.588138,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0hZUVhPLU04UkdHZ09fbjBybWRpUSIsImkiOiI1ODIyMjk1Mjg4In0.XS8bvYYs69svDxOKIb6kewDlp5JiDMps_dtM1nebcaI,Adzuna::API::Response::Job,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Project Manager to lead the planning, execution, and successful delivery of TIBCO EBX Master Data Management (MDM) initiatives within the insurance industry. The ideal candidate will have strong project management expertise, extensive experience managing enterprise data and MDM projects, and a solid understanding of insurance business processes. This role requires close collaboration with business stak…",5822295288,45.544959,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Company,Maarut,it-jobs,IT Jobs,Adzuna::API::Response::Category,156000.0,145600.0,,
0,2026-07-31T06:25:37Z,https://www.adzuna.ca/land/ad/5822267911?se=WHYQXO-M8RGGgO_n0rmdiQ&utm_medium=api&utm_source=e90db681&v=DB939FD41A90ECE0BE2BBEA5DB7EDAAF41FF35F2,Analytics Engineer I,-73.588138,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV0hZUVhPLU04UkdHZ09fbjBybWRpUSIsImkiOiI1ODIyMjY3OTExIn0.RX1lEohZV7vsNCLQ6fglJn7Eh1_1N6zOGQHhFu2Eovw,Adzuna::API::Response::Job,"Job Description Job Description Kronos has a long history of avionics engineering working with some of the largest aircraft integrators in the world. We always provide our partners with 100% customers satisfaction and on time delivery. If you are excited about working for a company that takes its job seriously and does not cut corners you will have a home with Kronos. Analytics Engineer Job Summary We are seeking a Analytics Engineer who thrives on turning complex, raw data into reliable, well-…",5822267911,45.544959,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Company,Kronos Consulting,it-jobs,IT Jobs,Adzuna::API::Response::Category,,,,
0,2026-07-30T21:56:14Z,https://www.adzuna.ca/details/5821857004?utm_medium=api&utm_source=e90db681,Analyste-programmeur,-73.588138,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMTg1NzAwNCIsInMiOiJXSFlRWE8tTThSR0dnT19uMHJtZGlRIn0.W6lY-mqxKF4RhkX1ZkGszC6IGOgbDG3yVZT7d-HEhGA,Adzuna::API::Response::Job,"Tender Retail recherche un développeur logiciel pour rejoindre son équipe Recherche et Développement. Le candidat idéal est autonome, débrouillard et doté d'un excellent esprit d'équipe. Il devra s'intégrer dans une équipe agile Scrum et collaborer avec différents intervenants pour concevoir, développer et optimiser des solutions de paiement. Notre secteur d’activité couvre les paiements aux points de vente ainsi que les paiements électroniques via des infrastructures de traitement des transact…",5821857004,45.544959,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Company,ACCEO Solutions Inc.,it-jobs,IT Jobs,Adzuna::API::Response::Category,122720.0,122720.0,permanent,full_time
