longitude,redirect_url,adref,id,title,salary_is_predicted,created,latitude,__CLASS__,description,category.__CLASS__,category.tag,category.label,company.display_name,company.__CLASS__,location.area,location.__CLASS__,location.display_name,contract_time,contract_type,salary_max,salary_min
-73.480282,https://www.adzuna.ca/details/5829216385?utm_medium=api&utm_source=e90db681,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGx2R2hlbVE4UkdZYTdiUGZ0LW43dyIsImkiOiI1ODI5MjE2Mzg1In0.LJNX7b56u6Nbh2UeTMvmlWQyxwOg2ePWXihKE-5dllw,5829216385,Digital Performance Consultant,0,2026-08-05T11:30:05Z,45.531116,Adzuna::API::Response::Job,"Official Internal Job Title: Digital Performance Consultant Status: Regular Job Description: Relevant du Directeur – Performance numérique, vous serez responsable de valoriser les données numériques afin de maximiser la valeur d’affaires générée par la Vice-Présidence - Numérique. Vous définirez la performance numérique, présenterez le suivi de nos indicateurs clés, de l’atteinte de nos cibles et proposerez proactivement des actions permettant d’optimiser notre impact. Vous aurez à collaborer d…",Adzuna::API::Response::Category,it-jobs,IT Jobs,IVADO,Adzuna::API::Response::Company,"['Canada', 'Québec', 'Montérégie', 'Champlain', 'Longueuil']",Adzuna::API::Response::Location,"Longueuil, Champlain",,,,
-73.588138,https://www.adzuna.ca/details/5829187844?utm_medium=api&utm_source=e90db681,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGx2R2hlbVE4UkdZYTdiUGZ0LW43dyIsImkiOiI1ODI5MTg3ODQ0In0.S0V-10gRFCP0znLtvbjU5S5NyzuqOfTVo3nXl2fM21g,5829187844,Scrum Master,0,2026-08-05T11:18:26Z,45.544959,Adzuna::API::Response::Job,"Position Description: CGI est à la recherche d'un(e) Scrum Master expérimenté(e) pour accompagner des équipes Agile dans la livraison de solutions technologiques stratégiques au sein d'un environnement complexe et en constante évolution. À titre de Scrum Master, vous serez un acteur clé de la réussite des équipes en favorisant l'adoption des meilleures pratiques Agile, la collaboration entre les différentes parties prenantes et la livraison continue de solutions à forte valeur d'affaires. Vous …",Adzuna::API::Response::Category,it-jobs,IT Jobs,CGI,Adzuna::API::Response::Company,"['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,"Montréal, Québec",full_time,,,
-73.588138,https://www.adzuna.ca/details/5829185849?utm_medium=api&utm_source=e90db681,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyOTE4NTg0OSIsInMiOiJobHZHaGVtUThSR1lhN2JQZnQtbjd3In0.ArD3RPsV7s3s-J6rEpOx0RBbL9Kk6OxqalrhuDyfsmU,5829185849,Designer Produit Senior / Senior Product Designer,0,2026-08-05T11:17:18Z,45.544959,Adzuna::API::Response::Job,"Akur8 est une scale-up InsurTech en forte croissance, dont la mission est de moderniser la façon dont les assureurs évaluent, tarifient et gèrent les risques. Notre plateforme SaaS de nouvelle génération associe machine learning transparent, analyse prédictive et conception intelligente de produits pour transformer des processus complexes d’assurance en systèmes évolutifs et fondés sur les données. Grâce à ses équipes d’engineering, de data, de product et d’actuariat, Akur8 permet aux assureurs…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Akur8,Adzuna::API::Response::Company,"['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,"Montréal, Québec",full_time,,,
-73.55286,https://www.adzuna.ca/details/5829185652?utm_medium=api&utm_source=e90db681,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyOTE4NTY1MiIsInMiOiJobHZHaGVtUThSR1lhN2JQZnQtbjd3In0.f3Ow_O1UPSGOwFmBs7JCtu3pR--Ndh--HRC1kMEiuMU,5829185652,"Développeur(se) Logiciel Junior, Équipe Data",0,2026-08-05T11:17:12Z,45.51044,Adzuna::API::Response::Job,"À PROPOS DE BEEM Chez BEEM, nous transformons la façon dont les entreprises utilisent leurs données, du pipeline jusqu'aux dashboards BI et à l'IA générative, pour qu'elles puissent prendre de meilleures décisions d'affaires. Nous sommes Partenaire AWS Advanced Tier et fiers de ce qu'on a bâti : une plateforme SaaS complète combinée à une équipe d'experts disponible pour accompagner nos clients selon leurs besoins. Nos clients sont des entreprises mid-market en croissance, dans des industries v…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Beem,Adzuna::API::Response::Company,"['Canada', 'Québec', 'Montréal', 'Westmount']",Adzuna::API::Response::Location,"Westmount, Montréal",full_time,contract,,
-73.588138,https://www.adzuna.ca/details/5829185616?utm_medium=api&utm_source=e90db681,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyOTE4NTYxNiIsInMiOiJobHZHaGVtUThSR1lhN2JQZnQtbjd3In0.-pT9jPTbPbm9TYperNyNgd6QBWRrc2AVYPPZBH7PMKo,5829185616,Analyste d’affaires et fonctionnel – Supply Chain,0,2026-08-05T11:17:10Z,45.544959,Adzuna::API::Response::Job,"Position Description: Chez CGI, nous croyons que l’innovation commence par une compréhension approfondie des opérations et des enjeux d’affaires de nos clients. Nous sommes à la recherche d’un(e) Analyste d’affaires et fonctionnel(le) – Supply Chain pour rejoindre nos équipes et contribuer à la transformation des processus logistiques et opérationnels. En tant que consultant(e), vous interviendrez auprès de différents clients pour analyser, optimiser et soutenir la mise en œuvre de solutions li…",Adzuna::API::Response::Category,it-jobs,IT Jobs,CGI,Adzuna::API::Response::Company,"['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,"Montréal, Québec",full_time,,,
-73.588138,https://www.adzuna.ca/details/5829185576?utm_medium=api&utm_source=e90db681,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyOTE4NTU3NiIsInMiOiJobHZHaGVtUThSR1lhN2JQZnQtbjd3In0.GeBo1aJ68nUp-5m5xY3vAEWjZvqdtrtNjZ5YvQkcAf4,5829185576,Operational Cybersecurity Analyst,0,2026-08-05T11:17:08Z,45.544959,Adzuna::API::Response::Job," Operational Cybersecurity Analyst  Location: Montreal or Quebec City (Remote)  Employment Type: Permanent  Work Arrangement: Remote work from anywhere in Quebec  Language Requirement: Fluency in French required  About the Role ESI Technologies is a Quebec-based IT consulting firm with over 32 years of experience specializing in information technology services. We support organizations in their digital transformation initiatives, including enterprise architecture, cybersecurity, cloud computing…",Adzuna::API::Response::Category,it-jobs,IT Jobs,ESI English,Adzuna::API::Response::Company,"['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,"Montréal, Québec",,permanent,,
-73.211685,https://www.adzuna.ca/details/5829185341?utm_medium=api&utm_source=e90db681,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyOTE4NTM0MSIsInMiOiJobHZHaGVtUThSR1lhN2JQZnQtbjd3In0.XUI7yt9qkNEO_7uqv7IdC4qhEJ8TbDXe_MOM5Q7K4Kc,5829185341,Livreur-Apprenti ébéniste,0,2026-08-05T11:17:00Z,45.569724,Adzuna::API::Response::Job,"Livreur-Apprenti ébéniste Beloeil , Canada En tant qu'employé de notre société, vous collaborerez avec chaque départment afin de créer et déployer des produits disruptifs. Venez travailler dans une société en pleine croissance qui vous offre de chouettes avantages, ainsi que des opportunités de progression et d'apprentissage aux côtés de leaders accomplis. Nous recherchons un membre de notre équipe expérimenté. Cette position est à la fois créative et rigoureuse , vous devez pouvoir réfléchir h…",Adzuna::API::Response::Category,it-jobs,IT Jobs,ReHauss,Adzuna::API::Response::Company,"['Canada', 'Québec', 'Montérégie', 'La Vallée-du-Richelieu', 'Beloeil']",Adzuna::API::Response::Location,"Beloeil, La Vallée-du-Richelieu",,,,
-73.588138,https://www.adzuna.ca/details/5829184980?utm_medium=api&utm_source=e90db681,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyOTE4NDk4MCIsInMiOiJobHZHaGVtUThSR1lhN2JQZnQtbjd3In0.R9S8Rnu8tkO2BynwcGvWrqvrfUQoq7o5a3oKdygm0Ic,5829184980,Coordonnateur(trice) Talents et ressources humaines (Remplacement de Congé de Maternité),0,2026-08-05T11:16:48Z,45.544959,Adzuna::API::Response::Job,"DRW est une société de négoce diversifiée avec plus de 3 décennies d'expérience qui réunit une technologie sophistiquée et des personnes exceptionnelles pour opérer sur les marchés du monde entier. Nous valorisons l'autonomie et la capacité à pivoter rapidement pour saisir les opportunités, c'est pourquoi nous opérons en utilisant notre propre capital et en négociant à nos propres risques. Basée à Chicago et disposant de bureaux aux États-Unis, au Canada, en Europe et en Asie, nous négocions di…",Adzuna::API::Response::Category,it-jobs,IT Jobs,DRW,Adzuna::API::Response::Company,"['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,"Montréal, Québec",,,,
-73.579237,https://www.adzuna.ca/details/5829182952?utm_medium=api&utm_source=e90db681,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaGx2R2hlbVE4UkdZYTdiUGZ0LW43dyIsImkiOiI1ODI5MTgyOTUyIn0.5q-VY0jBYrv75WKk38cnQZHgHNr7Dk4On6NZSPbQwKQ,5829182952,Gestionnaire de projet sénior – Modernisation d’applications assistée par l’IA,0,2026-08-05T11:15:18Z,45.515359,Adzuna::API::Response::Job,"Langue requise : Bilinguisme français / anglais requis Heures de travail par semaine : 37,5 heures par semaine Type de poste : Hybride – 1 jour par semaine au centre-ville de Montréal Durée de la mission : 6 mois, avec possibilité de renouvellement À propos du poste Nous recherchons un Gestionnaire de projet sénior pour piloter une initiative stratégique de modernisation d’applications critiques utilisées dans un environnement manufacturier. Le mandat vise à migrer et moderniser des systèmes le…",Adzuna::API::Response::Category,it-jobs,IT Jobs,Xideral,Adzuna::API::Response::Company,"['Canada', 'Québec', 'Montréal', 'Outremont']",Adzuna::API::Response::Location,"Outremont, Montréal",,contract,,
-73.588138,https://www.adzuna.ca/details/5829182104?utm_medium=api&utm_source=e90db681,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyOTE4MjEwNCIsInMiOiJobHZHaGVtUThSR1lhN2JQZnQtbjd3In0.dn-LYpzh04O5oxkQumdruwwObMhr84OqRmfRL0jN9HY,5829182104,AI Thought Leader & Expert,0,2026-08-05T11:13:56Z,45.544959,Adzuna::API::Response::Job,"Position Description: CGI is seeking an accomplished AI Thought Leader & Expert to join our expanding Management Consulting practice within the Greater Montreal business unit. This is a high-impact leadership role for a recognized strategist, advisor and innovator who brings deep expertise in artificial intelligence, enterprise transformation and emerging technologies. You will operate at the forefront of AI innovation — helping organizations move beyond experimentation to unlock measurable bus…",Adzuna::API::Response::Category,it-jobs,IT Jobs,CGI,Adzuna::API::Response::Company,"['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,"Montréal, Québec",full_time,,,
